date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:58:18	41072/41072	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20May%202019%2014:58:18%20GMT	https://purepng.com/photo/30610/clipart-pink-heart	F:/wamp64/www/purepng/scraper/htmlpages/purepng/purepng.com/photo/30610/clipart-pink-heart.html	(from )
17:58:19	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-56b8abbd68f2c%22	https://purepng.com/robots.txt		(from )
17:58:19	124/124	---M--	200	added ('OK')	image/png	etag:%229e-552dedd225895%22	https://purepng.com/public/img/favicon.png	F:/wamp64/www/purepng/scraper/htmlpages/purepng/purepng.com/public/img/favicon.png	(from https://purepng.com/photo/30610/clipart-pink-heart)
17:58:19	121388/121388	---MCZ	200	added ('OK')	text/css	etag:W/%2259512c90-23bad%22	https://purepng.com/public/bootstrap/css/bootstrap.css	F:/wamp64/www/purepng/scraper/htmlpages/purepng/purepng.com/public/bootstrap/css/bootstrap.css	(from https://purepng.com/photo/30610/clipart-pink-heart)
17:58:19	46501/46501	---MCZ	200	added ('OK')	text/css	etag:W/%225ba79200-b5ac%22	https://purepng.com/public/css/main.css	F:/wamp64/www/purepng/scraper/htmlpages/purepng/purepng.com/public/css/main.css	(from https://purepng.com/photo/30610/clipart-pink-heart)
17:58:20	29063/29063	---MCZ	200	added ('OK')	text/css	etag:W/%2259512c79-7187%22	https://purepng.com/public/css/font-awesome.min.css	F:/wamp64/www/purepng/scraper/htmlpages/purepng/purepng.com/public/css/font-awesome.min.css	(from https://purepng.com/photo/30610/clipart-pink-heart)
17:58:20	19105/19105	---MCZ	200	added ('OK')	text/css	etag:W/%2259512c79-5ee8%22	https://purepng.com/public/css/icomoon.css	F:/wamp64/www/purepng/scraper/htmlpages/purepng/purepng.com/public/css/icomoon.css	(from https://purepng.com/photo/30610/clipart-pink-heart)
17:58:20	8051/8051	---MCZ	200	added ('OK')	text/css	etag:W/%2259512c7a-2580%22	https://purepng.com/public/css/strokeicons.css	F:/wamp64/www/purepng/scraper/htmlpages/purepng/purepng.com/public/css/strokeicons.css	(from https://purepng.com/photo/30610/clipart-pink-heart)
17:58:20	501/501	---MCZ	200	added ('OK')	text/css	etag:W/%22247-571aa82ae9e83-gzip%22	https://purepng.com/public/plugins/fleximages/jquery.flex-images.css	F:/wamp64/www/purepng/scraper/htmlpages/purepng/purepng.com/public/plugins/fleximages/jquery.flex-images.css	(from https://purepng.com/photo/30610/clipart-pink-heart)
17:58:20	51284/51284	---MCZ	200	added ('OK')	text/css	etag:W/%2259512cca-c854%22	https://purepng.com/public/fonts/ionicons/css/ionicons.min.css	F:/wamp64/www/purepng/scraper/htmlpages/purepng/purepng.com/public/fonts/ionicons/css/ionicons.min.css	(from https://purepng.com/photo/30610/clipart-pink-heart)
